Latitude,Longitude,Locations,year,fatalities,ground
42.87498,-112.45057,"Pocatello, Idaho",1928,7   (passengers:6  crew:1),0
49.69283,10.99907,"Heroldbach, Germany",1928,3   (passengers:2  crew:1),0
41.98081,2.81874,"Gerona, Spain",1928,3   (passengers:2  crew:1),0
41.36696,-79.92954,"Polk, Pennsylvania",1928,1   (passengers:0  crew:1),0
44.93046,4.88924,"Valence, France",1928,1   (passengers:0  crew:1),0
52.98299,-6.7007,Off Gibraltar,1928,1   (passengers:0  crew:1),0
41.44832,-84.74808,"Edgerton, Ohio",1928,3   (passengers:2  crew:1),0
41.44832,-84.74808,"Edgerton, Ohio",1928,1   (passengers:0  crew:1),0
41.38739,-80.86854,"Bristolville, Ohio",1928,1   (passengers:0  crew:1),0
33.47594,-100.85572,"Spur, Texas",1928,5   (passengers:4  crew:1),0
-22.91216,-43.17501,"Near Rio de Janeiro,Brazil",1928,14   (passengers:9  crew:5),0
47.65726,-117.41228,"Spokan, Washington",1928,5   (passengers:3  crew:2),0
52.44708,11.48715,"Letzlingen, Germany",1928,3   (passengers:0  crew:3),0
41.39103,-82.55826,"Huron, Ohio",1928,1   (passengers:0  crew:1),0
35.04672,-85.30947,"Chattanooga, Tennessee",1928,4   (passengers:3  crew:1),0
49.2602,4.02956,"Reims, France",1928,2   (passengers:2  crew:0),0
41.95324,-72.31683,"Stafford Springs, Connecticut",1929,1   (passengers:0  crew:1),0
45.30151,-117.80855,"Cove, Oregon",1929,1   (passengers:0  crew:1),0
39.61861,19.90772,"Near Corfu, Greece",1929,2   (passengers:7  crew:2),0
39.63038,-79.95785,"Morgantown, West Virginia",1929,1   (passengers:0  crew:1),0
34.01794,-6.83605,Morocco,1929,2   (passengers:0  crew:2),0
40.73198,-74.17421,"Newark, New Jersey",1929,14   (passengers:13  crew:1),0
33.91513,-116.94981,"Near Beaumont, California",1929,4   (passengers:3  crew:1),0
32.71568,-117.16171,"San Diego, California",1929,6   (passengers:3  crew:3),0
22.21363,-97.8573,"Tampico, Mexico",1929,5   (passengers:4  crew:1),0
47.32186,18.96179,"Tököl,  Pest Hungary",1929,2   (passengers:0  crew:2),0
36.77157,3.05927,Algiers,1929,4   (passengers:3  crew:2),0
20.02583,-75.8081,"Santiago de Cuba, Cuba",1929,2   (passengers:1  crew:1),0
41.38804,2.17001,"Barcelona, Spain",1929,1   (passengers:0  crew:1),0
50.91588,0.97723,"Off Dungeness, England",1929,7   (passengers:7  crew:0),0
44.94339,-93.09648,"St. Paul, Minnesota",1929,1   (passengers:0  crew:1),0
47.54803,9.68512,"Near Lindau, Bavaria, Germany",1929,5   (passengers:4  crew:1),0
39.96199,-83.00276,"Columbus, Ohio",1929,1   (passengers:0  crew:1),0
34.40523,-103.20534,"Clovis, New Mexico",1929,4   (passengers:2  crew:2),0
49.29947,6.84639,"Elm, Germany",1929,4   (passengers:3  crew:1),0
43.61715,39.72451,"Sochi, Russia",1929,1   (passengers:0  crew:1),0
34.83847,-114.60433,"Needles, California",1929,1   (passengers:0  crew:1),0
35.15379,-107.82491,"Mt. Taylor, near Grants, New Mexico",1929,8   (passengers:5  crew:3),0
26.34096,57.19492,"Jask, Iran",1929,3   (passengers:1  crew:2),0
38.34365,-75.0783,North Atlantic Ocean,1929,6   (passengers:4  crew:2),0
43.15635,-79.24869,"Saint Catharines, Ontario",1929,6   (passengers:5  crew:1),0
41.30158,-72.32706,"Mt Lamentation, Connecticut",1929,1   (passengers:0  crew:1),0
32.61767,-116.18854,"Jacumba, California",1929,1   (passengers:0  crew:1),0
35.1941,-6.14448,"Off Larache, Morocco",1929,5   (passengers:3  crew:2),0
44.10212,9.82006,"Off Spezia, Italy",1929,7   (passengers:5  crew:2),0
40.39293,-82.48547,"Mount Vernon, Ohio",1929,1   (passengers:0  crew:1),0
47.56501,-122.62749,"Off Bremerton, Washington",1929,2   (passengers:0  crew:2),0
20.4294,-97.31496,"Cerro del Carbon, Mexico",1929,4   (passengers:3  crew:1),0
51.25008,-0.06698,"Near Godstone, Surrey, England",1929,7   (passengers:3  crew:4),0
41.91723,8.73451,"Corsica, France",1929,3   (passengers:0  crew:3),0
40.9298,9.06569,"Pausania, East Sardinia",1929,1   (passengers:1  crew:0),0
45.63222,-122.67156,"Vancouver, Washington",1929,1   (passengers:0  crew:1),0
41.42976,-81.39244,"Chagrin Falls, Ohio",1929,1   (passengers:0  crew:1),0
52.40248,13.39164,"Near Berlin, Germany",1929,2   (passengers:0  crew:2),0
35.20726,-101.83389,"Amarillo, Texas",1929,5   (passengers:3  crew:2),0
41.18634,-103.11408,"Brawnson, Nebraska",1930,1   (passengers:0  crew:1),0
-18.91003,47.52737,"Antananarivo, Madagascar",1930,3   (passengers:0  crew:3),0
33.19715,-117.38058,"Oceanside, California",1930,16   (passengers:14  crew:2),0
35.88999,-5.31784,"Off Ceuta, Spain",1930,2   (passengers:0  crew:2),0
39.10344,-94.58311,"Kansas City, Missouri",1930,5   (passengers:4  crew:1),0
41.76376,-72.67394,"Hartford, Connecticut",1930,1   (passengers:0  crew:1),0
51.17721,0.48936,"Marden, England",1930,2   (passengers:2  crew:0),0
40.71748,-74.04385,"Jersey City, New Jersey",1930,4   (passengers:3  crew:1),0
-34.6085,-58.37344,"Buenos Aires, Argentina",1930,3   (passengers:1  crew:2),0
42.35866,-71.05675,"Boston, Massachusetts",1930,1   (passengers:1  crew:0),0
55.09925,14.69761,"Bornholm, Denmark",1930,5   (passengers:4  crew:1),0
27.90332,-97.14783,"Arkansas Pass, Texas",1930,5   (passengers:4  crew:1),0
51.3819,0.3592,"Near Meopham, Kent, England",1930,6   (passengers:4  crew:2),0
51.37235,-0.09945,"Croydon, England",1930,2   (passengers:0  crew:2),0
53.54624,-113.49037,"Edmonton, Alberta, Canada",1930,3   (passengers:2  crew:1),0
47.10586,3.50739,"Near Beauvais, France",1930,48   (passengers:?  crew:?),0
51.05364,13.74082,"Dresden, Germany",1930,8   (passengers:6  crew:2),0
33.52144,-4.55324,"La Rache, Morocco",1930,4   (passengers:3  crew:1),0
-41.57679,147.17448,"Perth, Australia",1930,3   (passengers:2  crew:1),?
54.31326,-130.326,"Prince Rupert, BC, Canada",1930,3   (passengers:?  crew:?),0
43.57784,1.09527,"Near Neufchatel, France",1930,3   (passengers:2  crew:1),0
40.60318,-86.86861,"Brookston, Indiana",1930,1   (passengers:0  crew:1),0
-5.08587,-42.72625,"Off of Santos, Brazil",1930,1   (passengers:1  crew:0),0
35.13999,-118.51328,"Techachapi Mountains, California",1930,3   (passengers:0  crew:3),?
31.25516,121.47471,"Shanghai, China",1930,4   (passengers:2  crew:2),0
51.00246,3.8025,"Melle, Belgium",1931,2   (passengers:0  crew:2),0
45.61233,-122.52557,"Mountain, Washington",1931,1   (passengers:0  crew:1),0
-39.03425,177.41833,"Wairoa, New Zealand",1931,3   (passengers:2  crew:1),0
49.96838,-98.63089,"Bagot, Manitoba, Canada",1931,2   (passengers:2  crew:0),0
40.42028,-3.70578,Spain,1931,1   (passengers:0  crew:1),0
-33.8696,151.20691,"New South Wales, Australia",1931,8   (passengers:6  crew:2),0
38.27137,-96.54196,"Bazaar, Kansas",1931,8   (passengers:6  crew:2),0
52.6432,14.36023,"Letschen, Germany",1931,2   (passengers:0  crew:2),0
34.18193,-118.30765,"Burbank, California",1931,2   (passengers:0  crew:2),0
-35.30655,149.12656,Australia,1931,1   (passengers:0  crew:1),0
40.91166,-77.77771,"Bellefonte, Pennsylvania",1931,1   (passengers:0  crew:1),0
18.46035,94.36895,"Sandoway, Burma",1931,4   (passengers:0  crew:4),0
41.58831,-83.49332,"Walbridge, Ohio",1931,2   (passengers:0  crew:2),0
49.23174,6.9985,"Saarbrucken, Germany",1931,4   (passengers:2  crew:2),0
41.88425,-87.63245,"Chicago, Illinois",1931,2   (passengers:0  crew:2),0
-34.44671,147.53421,"Temora, Australia",1931,2   (passengers:0  crew:2),0
38.52828,-89.13058,"Centralia, Illinois",1931,1   (passengers:0  crew:1),0
42.69719,23.32431,Bulgaria,1931,7   (passengers:5  crew:2),0
39.10713,-84.50413,"Cincinnati, Ohio",1931,6   (passengers:4  crew:2),0
41.88425,-87.63245,"Chicago, Illinois",1931,1   (passengers:0  crew:1),0
44.33894,23.77386,"Near Craiova, Oltenia, Romania",1931,6   (passengers:4  crew:2),0
37.80508,-122.27307,"Oakland, California",1931,4   (passengers:3  crew:1),0
45.01465,-63.10573,"Novia Scotia, Canada",1931,3   (passengers:0  crew:3),0
-15.77843,-47.92866,Brazil,1931,3   (passengers:0  crew:3),0
39.94526,-75.11913,"Camden, New Jersey",1931,5   (passengers:4  crew:1),0
-34.1206,18.90821,"Sir Lowry's pass, South Africa",1931,3   (passengers:2  crew:1),0
40.76031,-111.88822,"Salt Lake City, Utah",1931,1   (passengers:0  crew:1),0
39.90657,116.38766,China,1931,3   (passengers:1  crew:2),0
46.23542,-119.09467,"Pasco, Washington",1931,1   (passengers:0  crew:1),0
41.2473,-89.92486,"Kewanee, Illinois",1931,2   (passengers:2  crew:0),0
13.75337,100.50483,"Bangkok, Thailand",1931,5   (passengers:2  crew:3),0
36.77157,3.05927,Algiers,1931,2   (passengers:0  crew:2),0
39.92503,-83.80673,"Springfield, Ohio",1931,4   (passengers:4  crew:0),0
42.1535,-88.78373,"Colvin Park, Ilinois",1932,1   (passengers:0  crew:1),0
34.83766,-118.86352,"Lebec, California",1932,8   (passengers:7  crew:1),0
25.77481,-80.19773,"Off Miami, Florida",1932,5   (passengers:4  crew:1),0
42.02696,-85.81386,"Marcellus, Michigan",1932,1   (passengers:0  crew:1),0
38.15555,-121.69043,"Rio Vista, California",1932,1   (passengers:0  crew:1),0
-20.62862,-40.43766,"Off Setiba, Brazil",1932,3   (passengers:?  crew:?),0
38.62636,-90.16338,"Saint Louis, Illinois",1932,2   (passengers:0  crew:2),0
34.00356,-117.05842,"Calimesa, California",1932,7   (passengers:5  crew:2),0
40.36962,-80.63843,"Steubenville, Ohio",1932,1   (passengers:0  crew:1),0
33.4993,36.30132,Syria,1932,3   (passengers:?  crew:?),0
41.39627,-81.53705,"Bedford, Ohio",1932,1   (passengers:0  crew:1),0
41.08026,-85.13831,"Fort Wayne, Indiana",1932,1   (passengers:0  crew:1),0
45.5118,-122.67563,"Portland, Oregon",1932,2   (passengers:?  crew:?),0
34.18193,-118.30765,"Burbank, California",1932,3   (passengers:0  crew:3),0
-33.39923,-70.60105,"Mount El Plomo, near Vitacura, Chile",1932,9   (passengers:6  crew:3),0
33.89607,35.50678,"Beyrouth, Lebanon",1932,1   (passengers:?  crew:?),0
51.71113,9.29445,"Tubergen, Germany",1932,2   (passengers:?  crew:?),0
31.74491,-105.07979,"Salt Flats, Texas",1932,3   (passengers:1  crew:2),0
